编号,名称,规格,单位,单价,含量,主材标记,材料号,材料类别,是否有明细,,,
1B-1,综合用工二类,,工日,0.122,0.122,,,1,,,,
1B-1,钢架焊接减振台座,,台,1,1,*,,5,,,,
1B-1,氧气,,m3,0.016,0.016,,,2,,,,
1B-1,乙炔气,,kg,0.006,0.006,,,2,,,,
1B-1,电焊条结422Φ3.2,,kg,0.045,0.045,,,2,,,,
1B-1,弹簧垫圈M12~22,,10个,0.412,0.412,,,2,,,,
1B-1,精制六角带帽螺栓带垫M12×40~75,,套,4.12,4.12,,,2,,,,
1B-1,交流电焊机21kV·A,,台班,0.016,0.016,,,3,,,,
1B-2,综合用工二类,,工日,0.122,0.237,,,1,,,,
1B-2,钢架焊接减振台座,,台,1,1,*,,5,,,,
1B-2,氧气,,m3,0.016,0.023,,,2,,,,
1B-2,乙炔气,,kg,0.006,0.009,,,2,,,,
1B-2,电焊条结422Φ3.2,,kg,0.045,0.06,,,2,,,,
1B-2,弹簧垫圈M12~22,,10个,0.412,0.412,,,2,,,,
1B-2,精制六角带帽螺栓带垫M12×40~75,,套,4.12,4.12,,,2,,,,
1B-2,交流电焊机21kV·A,,台班,0.016,0.021,,,3,,,,
1B-3,综合用工二类,,工日,0.122,0.478,,,1,,,,
1B-3,钢架焊接减振台座,,台,1,1,*,,5,,,,
1B-3,氧气,,m3,0.016,0.056,,,2,,,,
1B-3,乙炔气,,kg,0.006,0.022,,,2,,,,
1B-3,电焊条结422Φ3.2,,kg,0.045,0.08,,,2,,,,
1B-3,弹簧垫圈M12~22,,10个,0.412,0.412,,,2,,,,
1B-3,精制六角带帽螺栓带垫M12×40~75,,套,4.12,4.12,,,2,,,,
1B-3,交流电焊机21kV·A,,台班,0.016,0.028,,,3,,,,
1B-4,综合用工二类,,工日,0.122,0.715,,,1,,,,
1B-4,钢架焊接减振台座,,台,1,1,*,,5,,,,
1B-4,氧气,,m3,0.016,0.065,,,2,,,,
1B-4,乙炔气,,kg,0.006,0.025,,,2,,,,
1B-4,电焊条结422Φ3.2,,kg,0.045,0.1,,,2,,,,
1B-4,弹簧垫圈M16,,10个,0,0.412,,,2,,,,
1B-4,精制六角带帽螺栓带垫M16×65~80,,套,0,4.12,,,2,,,,
1B-4,交流电焊机21kV·A,,台班,0.016,0.035,,,3,,,,
1B-5,综合用工二类,,工日,0.122,0.958,,,1,,,,
1B-5,钢架焊接减振台座,,台,1,1,*,,5,,,,
1B-5,氧气,,m3,0.016,0.081,,,2,,,,
1B-5,乙炔气,,kg,0.006,0.031,,,2,,,,
1B-5,电焊条结422Φ3.2,,kg,0.045,0.105,,,2,,,,
1B-5,弹簧垫圈M16,,10个,0,0.412,,,2,,,,
1B-5,精制六角带帽螺栓带垫M16×65~80,,套,0,4.12,,,2,,,,
1B-5,交流电焊机21kV·A,,台班,0.016,0.037,,,3,,,,
1B-6,综合用工二类,,工日,0.122,1.195,,,1,,,,
1B-6,钢架焊接减振台座,,台,1,1,*,,5,,,,
1B-6,氧气,,m3,0.016,0.098,,,2,,,,
1B-6,乙炔气,,kg,0.006,0.038,,,2,,,,
1B-6,电焊条结422Φ3.2,,kg,0.045,0.109,,,2,,,,
1B-6,弹簧垫圈M16,,10个,0,0.412,,,2,,,,
1B-6,精制六角带帽螺栓带垫M16×65~80,,套,0,4.12,,,2,,,,
1B-6,交流电焊机21kV·A,,台班,0.016,0.038,,,3,,,,
1B-7,综合用工二类,,工日,0.21,0.21,,,1,,,,
1B-7,钢筋混凝土减振台座,,块,1,1,*,,5,,,,
1B-7,垫木,,m3,0.001,0.001,,,2,,,,
1B-7,其他材料,,%,3,3,,,2,,,,
1B-7,汽车式起重机提升质量5t,,台班,0.014,0.014,,,3,,,,
1B-8,综合用工二类,,工日,0.21,0.373,,,1,,,,
1B-8,钢筋混凝土减振台座,,块,1,1,*,,5,,,,
1B-8,垫木,,m3,0.001,0.003,,,2,,,,
1B-8,其他材料,,%,3,3,,,2,,,,
1B-8,汽车式起重机提升质量5t,,台班,0.014,0.031,,,3,,,,
1B-9,综合用工二类,,工日,0.21,0.6,,,1,,,,
1B-9,钢筋混凝土减振台座,,块,1,1,*,,5,,,,
1B-9,垫木,,m3,0.001,0.006,,,2,,,,
1B-9,其他材料,,%,3,3,,,2,,,,
1B-9,汽车式起重机提升质量5t,,台班,0.014,0.055,,,3,,,,
1B-10,综合用工二类,,工日,0.058,0.058,,,1,,,,
1B-11,综合用工二类,,工日,0.058,0.037,,,1,,,,
1B-12,综合用工二类,,工日,8.468,8.468,,,1,,,,
1B-12,木板,,m3,0.015,0.015,,,2,,,,
1B-12,道木,,m3,0.03,0.03,,,2,,,,
1B-12,水泥32.5,,kg,173,173,,,2,,,,
1B-12,砂子,,m3,0.294,0.294,,,2,,,,
1B-12,碎石,,m3,0.321,0.321,,,2,,,,
1B-12,塑料布,,kg,1.68,1.68,,,2,,,,
1B-12,聚酯乙烯泡沫塑料,,kg,0.143,0.143,,,2,,,,
1B-12,电焊条结422Φ4,,kg,0.242,0.242,,,2,,,,
1B-12,铅油,,kg,0.05,0.05,,,2,,,,
1B-12,白漆,,kg,0.08,0.08,,,2,,,,
1B-12,煤油,,kg,3.32,3.32,,,2,,,,
1B-12,柴油,,kg,31.08,31.08,,,2,,,,
1B-12,机油综合,,kg,0.586,0.586,,,2,,,,
1B-12,黄油钙基脂,,kg,0.202,0.202,,,2,,,,
1B-12,镀锌铁丝8#~12#,,kg,2,2,,,2,,,,
1B-12,水,,m3,3.06,3.06,,,2,,,,
1B-12,平垫铁Q195~Q2351#,,kg,4.064,4.064,,,2,,,,
1B-12,斜垫铁Q195~Q235#1,,kg,4.176,4.176,,,2,,,,
1B-12,棉纱头,,kg,0.56,0.56,,,2,,,,
1B-12,白布,,m,0.27,0.27,,,2,,,,
1B-12,破布一级,,kg,0.77,0.77,,,2,,,,
1B-12,草袋,,条,1.5,1.5,,,2,,,,
