编号,工作内容
"2B-84,2B-85,2B-86",测位、划线、支架安装、吊装灯杆、组装接线、接地。
"5B-1,5B-2,5B-3,5B-4,5B-5,5B-6",切管、套丝、上法兰、加垫、紧螺栓、水压试验。
"2B-78,2B-79,2B-80,2B-81",测位、划线、打眼、埋螺栓、灯具安装﹑接线、接焊线包头。
"2B-67,2B-68,2B-69,2B-70",放线、紧线、瓷瓶绑扎、压接包头。
"5B-9,5B-10,5B-11",采暖炉安装、通气、试火、调风门。
"1B-18,1B-19,1B-20,1B-21,1B-22,1B-23,1B-24,1B-25","开箱、检查设备及附件、就位、连接、上螺栓、找正、找平、固定、外表污物清理,单机试运转。"
"2B-71,2B-72,2B-73,2B-74,2B-75,2B-76,2B-77","开箱清点,测位划线,打眼埋螺栓,灯具拼装固定,挂装饰部件,接焊线包头等。"
"2B-5,2B-6,2B-7,2B-8",基坑整理、移运、盘安装、操平、找正、卡盘螺栓紧固、工器具转移、木杆根部烧焦涂防腐油。
"1B-34,1B-35,1B-36","施工准备,基础处理、垫铁设置、吊装就位、安装找正、垫铁点焊、配合检查验收。"
"2B-109,2B-110,2B-111,2B-112,2B-113,2B-114,2B-115,2B-116,2B-117",测位、划线、留堵洞口、安装支架﹑锯管﹑套丝、揻弯﹑配管、接地、试压。
"2B-46,2B-47,2B-48,2B-49,2B-50,2B-51",拉线长度实测、放线、丈里与截割、装金具、拉线安装、紧线、调节、工器具转移。
"6B-29,6B-30,6B-31,6B-32,6B-33,6B-34,6B-35,6B-36,6B-37,6B-38,6B-39,6B-40,6B-41,6B-42","管子切口,坡口加工,坡口磨平,管口组对﹑焊接,管口封闭,垂直运输,管道安装。"
"2B-87,2B-88,2B-89,2B-90","开箱清点,则位划线,打眼埋螺栓,灯具拼装固定,挂装饰部件,接焊线包头等。"
"6B-57,6B-58,6B-59,6B-60,6B-61,6B-62,6B-63,6B-64,6B-65,6B-66,6B-67","管子切口,坡口加工,坡口磨平,管口组对,焊接,法兰连接。"
"2B-1,2B-2,2B-3,2B-4","线路器材外观检查、绑扎及抬运、卸至指定地点、返回、装车、支垫、绑扎,运至指定地点、人力卸车、返回。"
"2B-100,2B-101,2B-102,2B-103,2B-104,2B-105,2B-106,2B-107,2B-108",测位、划线、锯管、套丝、揻弯、配管、接地、气密性实验。
"6B-15,6B-16,6B-17,6B-18,6B-19,6B-20,6B-21,6B-22,6B-23,6B-24,6B-25,6B-26,6B-27,6B-28,6B-43,6B-44,6B-45,6B-46,6B-47,6B-48,6B-49,6B-50,6B-51,6B-52,6B-53,6B-54,6B-55,6B-56","管子切口,坡口加工,坡口磨平,管口组对、焊接。"
"1B-28,1B-29,1B-30,1B-31,1B-32,1B-33","散板堆放、放样号料、切割、坡口、卷弧、揻制、吊装、组对焊接、打磨,试漏。"
"2B-30,2B-31,2B-32,2B-33",量尺寸、定位、上抱箍、装横担、支撑及杆顶支座、安装绝缘子。
5B-7,安装、水压试验。
"3B-5,3B-6",检查器材、成端接头、固定接头。
"2B-40,2B-41,2B-42,2B-43,2B-44,2B-45",测位、划线、打眼、钻孔、横担安装﹑装瓷瓶及防水弯头。
"5B-12,5B-13",开水炉安装、通气、通水、试火、调试风门。
"2B-118,2B-119,2B-120","伴热带(元件)敷设(安装)、绝缘接地﹑控制及保护电路测试,调整记录。"
"2B-91,2B-92,2B-93,2B-94,2B-95,2B-96,2B-97,2B-98,2B-99",测位、划线、留堵洞口、埋螺栓、锯管、套丝、揻弯、配管、接地、气密性试验。
"2B-64,2B-65,2B-66",跨越架搭拆﹑架线中的监护转移。
"2B-9,2B-10,2B-11,2B-12,2B-13,2B-14,2B-15",立杆、找正、绑地横木、根部刷油、工器具转移。
"3B-1,3B-2,3B-3,3B-4",开箱、线缆检查、编号、安装(穿放、布放)、断线、固定、临时封头、清理场地。
"2B-82,2B-83",测位、划线、支架安装、灯具组装(含灯杆)﹑接线。
"2B-16,2B-17,2B-18,2B-19,2B-20,2B-21,2B-22",木杆加工、接腿、立杆、找正、绑地横木、根部刷油、工器具转移。
"2B-34,2B-35,2B-36,2B-37,2B-38,2B-39",定位、上抱箍、装支架、横担、支撑及杆顶支座、装瓷瓶。
"2B-52,2B-53,2B-54,2B-55,2B-56,2B-57,2B-58,2B-59,2B-60,2B-61,2B-62,2B-63",线材外观检查、架线盘﹑放线、直线接头连接、紧线、弛度观测、耐张终端头制作、绑扎、跳线安装。
5B-8,气嘴研磨、上气嘴。
"2B-23,2B-24,2B-25,2B-26,2B-27,2B-28,2B-29",木杆加工、根部刷油、立杆、装抱箍、焊缝间隙轻微调整﹑挖焊接操作坑﹑焊接及焊口清理﹑钢圈防腐防锈处理、工器具转移。
"1B-26,1B-27","开箱检查设备、附件、底座螺栓,安装、找平、找正、加垫、螺栓固定。"
"6B-1,6B-2,6B-3,6B-4,6B-5,6B-6,6B-7,6B-8,6B-9,6B-10,6B-11,6B-12,6B-13,6B-14","管子切口,坡口加工,坡口磨平,管口组对、焊接,垂直运输,管道安装。"
